NBAName,NBAID
Phil Bond,76198
Ron Bonham,76201
George H. Bon Salle,76203
Ron Boone,76204
Bob Boozer,76206
Jake Bornheimer,76207
Costic Borsavage,76209
Vince Boryla,76210
Jim Bostic,76211
Lawrence Boston,76212
Tom Boswell,76213
Don Boven,76214
Sam Bowie,76217
Nate Bowman,76219
Dennis Boyd,76221
Fred Boyd,76222
Ken Boyd,76223
Harry Boykoff,76224
Winford Boynes,76225
Steve Bracey,76226
Gary Bradds,76227
Alex Bradley,76228
Alonzo Bradley,76229
Charles Bradley,76230
Dudley Bradley,76231
Joe Bradley,76232
Bill Bradley,76233
Adrian Branch,76237
Bob Brannum,76238
Brad Branson,76239
Jesse Branson,76240
Jim Brasco,76241
Mike Bratz,76242
Carl Braun,76243
Pete Brennan,76245
Tom Brennan,76246
Randy Breuer,76247
Jim Brewer,76248
Ron Brewer,76249
Frank Brian,76250
Junior Bridgeman,76252
Bill Bridges,76253
Al Brightman,76254
Audley Brindley,76255
John Brisker,76256
Allan Bristow,76257
Tyrone Britt,76258
Wayman Britt,76259
Mike Brittain,76260
David Britton,76261
Jim Brogan,76262
Gary Brokaw,76263
Price Brookfield,76264
Kevin Brooks,76265
Michael Brooks,76266
Tony Brown,76268
Darrell Brown,76270
Fred Brown,76272
George Brown,76273
Harold Brown,76275
John Brown,76276
Myron Brown,76277
Leon Brown,76278
Lewis Brown,76279
Raymond Brown,76282
Rickey Brown,76283
Bob Brown,76284
Stan Brown,76285
Roger Brown,76286
Jim Browne,76287
Stanley Brundy,76288
Emmette Bryant,76289
Joe Bryant,76290
Wallace Bryant,76291
Torgeir Bryn,76292
Joe Buckhalter,76293
Steve Bucknall,76294
Cleveland Buckner,76295
Quinn Buckner,76296
Dave Budd,76297
Walter Budko,76298
Greg Bunch,76300
Dick Bunt,76301
Bill Buntin,76302
Luther Burden,76303
Roger Burkman,76304
Tom Burleson,76305
Jack Burmaster,76306
David Burns,76307
Evers Burns,76308
Jim Burns,76309
Art Burris,76311
Bob Burrow,76313
Ed Burton,76314
Steve Burtt,76316
Don Buse,76317
Donnie Butcher,76318
Al Butler,76319
Greg Butler,76320
Marty Byrnes,76321
Tommy Byrnes,76322
Mike Bytzura,76323
Barney Cable,76324
Gerry Calabrese,76326
Jim Caldwell,76328
Joe Caldwell,76329
Corky Calhoun,76330
Bill Calhoun,76331
Demetrius Calip,76332
Tom Callahan,76333
Rick Calloway,76334
Ernie Calverley,76335
Mack Calvin,76336
Dexter Cambridge,76337
Tony Campbell,76338
Larry Cannon,76339
Howie Carl,76340
Chet Carlisle,76341
Rick Carlisle,76342
Al Carlson,76343
Don Carlson,76344
Bob Carney,76345
Bob Carpenter,76346
Austin Carr,76348
Kenny Carr,76350
M.L. Carr,76351
Bob Carrington,76352
Joe Barry Carroll,76353
Butch Carter,76355
Fred Carter,76356
George Carter,76357
Howard Carter,76358
Jake Carter,76359
Reggie Carter,76360
Ron Carter,76361
Bill Cartwright,76362
Jay Carty,76363
Cornelius Cash,76364
Harvey Catchings,76365
Sid Catlett,76367
Bobby Cattage,76368
Ron Cavenall,76370
Al Cervi,76373
Bill Chamberlain,76374
Wilt Chamberlain,76375
Jerry Chambers,76376
Mike Champion,76378
Don Chaney,76379
John Chaney,76380
Len Chappell,76382
Ken Charles,76383
Lorenzo Charles,76384
Maurice Cheeks,76385
Phil Chenier,76386
Derrick Chievous,76387
Leroy Chollet,76391
Jim Chones,76392
Fred Christ,76393
Cal Christensen,76394
Bob Christian,76395
Archie Clark,76397
Carlos Clark,76398
Jim Cleamons,76402
John Clemens,76403
Nat Clifton,76404
Bill Closs,76406
Paul Cloyd,76407
Marion Cluggish,76408
Ben Clyde,76409
Richard Coffey,76410
Fred Cofield,76411
Ben Coleman,76412
E.C. Coleman,76413
Jack Coleman,76414
Norris Coleman,76415
Art Collins,76416
Don Collins,76418
Jimmy Collins,76419
Doug Collins,76421
Joe Colone,76422
Leroy Combs,76425
Dallas Comegys,76426
Larry Comley,76427
Gene Conley,76428
Ed Conlin,76429
Lester Conner,76431
Chuck Connors,76432
Anthony Cook,76433
Bert Cook,76434
Darwin Cook,76435
Jeff Cook,76436
Norm Cook,76437
Bobby Cook,76438
David Cooke,76439
Joe Cooke,76440
Wayne Cooper,76441
Chuck Cooper,76442
Joe Cooper,76443
Michael Cooper,76444
Tom Copa,76446
Hollis Copeland,76447
Lanard Copeland,76448
Chris Corchiani,76450
Ken Corley,76451
Ray Corley,76452
Dave Corzine,76453
Larry Costello,76454
Jack Cotton,76456
John Coughran,76457
Mel Counts,76458
Steve Courtin,76459
Dave Cowens,76462
John Cox,76463
Johnny Cox,76464
Wesley Cox,76465
Freddie Crawford,76466
Jim Creighton,76468
Ron Crevier,76469
Hal Crisler,76470
Charlie Criss,76471
Winston Crite,76472
Dillard Crocker,76473
Jeffrey Crompton,76474
Terry Crosby,76475
Jeff Cross,76476
Pete Cross,76477
Russell Cross,76478
Francis Crossin,76479
Mark Crow,76481
Corey Crowder,76482
Pat Cummings,76483
Dick Cunningham,76485
Billy Cunningham,76487
Radisav Curcic,76488
Armand Cure,76489
Fran Curran,76492
Ed Dahler,76496
Quintin Dailey,76497
Howie Dallmar,76498
Lou Dampier,76499
Bob Dandridge,76500
Mel Daniels,76502
Adrian Dantley,76504
Mike D'Antoni,76505
Henry Darcey,76506
Jimmy Darden,76507
Jesse Dark,76509
Jimmy Darrow,76511
Bob Davies,76514
Aubrey Davis,76515
Brad Davis,76516
Brian Davis,76517
Charlie Davis,76518
Charlie Davis,76519
Monti Davis,76520
Double D Davis,76521
Edward Davis,76522
Harry Davis,76523
James Davis,76524
Jim Davis,76525
Johnny Davis,76526
Mark Davis,76528
Mel Davis,76529
Michael Davis,76530
Mike Davis,76531
Ralph Davis,76532
Bob Davis,76533
Ron Davis,76534
Walt Davis,76536
Bill Davis,76538
Darryl Dawkins,76539
Paul Dawkins,76541
Tony Dawson,76542
Darren Daye,76543
Greg Deane,76544
Dave DeBusschere,76545
Archie Dees,76546
Red Dehnert,76548
Nate DeLong,76551
Fennis Dembo,76552
Larry Demic,76553
George Dempsey,76555
Kenny Dennard,76556
Blaine Denning,76557
Randy Denton,76558
Rod Derline,76559
Dave Deutsch,76560
Walter Devlin,76561
Hank DeZonie,76562
Henry Dickerson,76563
Derrek Dickey,76564
Dick Dickey,76565
Connie Dierking,76566
Coby Dietrick,76567
Ernie DiGregorio,76568
Mickey Dillard,76569
Bob Dille,76570
John Dillon,76571
Byron Dinkins,76574
Jackie Dinkins,76575
Bill Dinwiddie,76576
Terry Dischinger,76577
Fred Diute,76578
Earl Dodd,76580
Joe Dolhon,76581
Bob Doll,76582
James Donaldson,76583
Bob Donham,76584
Harry Donovan,76585
Billy Donovan,76586
Jacky Dorsey,76587
Bruce Douglas,76588
John Douglas,76589
Leon Douglas,76590
Lloyd Dove,76592
Bill Downey,76593
Steve Downing,76594
Danny Doyle,76595
Terry Dozier,76596
John Drew,76598
Larry Drew,76599
Terry Driscoll,76603
Ralph Drollinger,76604
Dick Duckett,76605
Charles Dudley,76607
Terry Duerod,76608
Bob Duffy,76609
Bob Duffy,76610
Walter Dukes,76611
Andy Duncan,76615
Mike Dunleavy,76616
Pat Dunn,76617
T.R. Dunn,76618
John Duren,76619
Devin Durrant,76621
Ken Durrett,76622
Dennis DuVal,76623
Jack Dwan,76624
Craig Dykema,76625
Gene Dyker,76626
Jim Eakins,76628
Ed Earle,76630
Mark Eaton,76631
Jerry Eaves,76632
Bill Ebben,76633
Al Eberhard,76634
Patrick Eddie,76635
Thomas Eddleman,76636
Kent Edelin,76637
Keith Edmonson,76638
Franklin Edwards,76641
Jay Edwards,76643
Bill Edwards,76646
Johnny Egan,76647
Lonnie Eggleston,76648
Eddie Ehlers,76649
Dick Eichhorst,76651
Don Eliason,76653
Ray Ellefson,76655
Bob Elliott,76656
Alexander Ellis,76658
Joe Ellis,76661
Leroy Ellis,76663
Bo Ellis,76664
Darrell Elston,76667
Wayne Embry,76668
Ned Endress,76669
Chris Engler,76670
Wayne Englestad,76671
A.J. English,76672
Alex English,76673
Claude English,76674
Scott English,76675
Jojo English,76676
Gene Englund,76677
Ray Epps,76678
Bo Erias,76679
Keith Erickson,76680
Julius Erving,76681
Jack Eskridge,76682
Vincenzo Esposito,76683
Earl Evans,76685
Mike Evans,76686
Bob Evans,76687
Johnny Ezersky,76689
Joe Fabel,76690
John Fairchild,76691
Phil Farbman,76692
Dick Farley,76693
Mike Farmer,76694
Jim Farmer,76695
Bob Faught,76696
Dave Fedor,76697
Bob Feerick,76698
Butch Feher,76699
Ron Feiereisel,76701
George Feigenbaum,76702
Dave Feitl,76703
Ray Felix,76704
Jake Fendley,76705
Bill Fenley,76706
Eric Fernsten,76707
Al Ferrari,76708
Rolando Ferreira,76709
Arnie Ferrin,76711
Bob Ferry,76712
Kenny Fields,76713
Ron Filipek,76714
Greg Fillmore,76715
Hank Finkel,76716
Danny Finn,76717
Dick Fitzgerald,76719
Bob Fitzgerald,76720
Jerry Fleishman,76721
Al Fleming,76722
Ed Fleming,76723
Bruce Flowers,76725
Sleepy Floyd,76726
Mike Flynn,76727
Larry Fogle,76728
Jack Foley,76729
Levi Fontaine,76731
Alphonso Ford,76732
Chris Ford,76733
Don Ford,76734
Jake Ford,76735
Phil Ford,76736
Donnie Forman,76738
Bayard Forrest,76739
Fred Foster,76740
Rod Foster,76742
Larry Foust,76744
Jerry Fowler,76745
Harold Fox,76746
Jim Fox,76747
Tellis Frank,76748
Nat Frankel,76749
Walt Frazier,76750
Will Frazier,76751
Anthony Frederick,76752
World Free,76753
Donnie Freeman,76754
Gary Freeman,76755
Rod Freeman,76756
Frido Frey,76757
Larry Friend,76758
Pat Frink,76759
Jim Fritsche,76760
Bernie Fryer,76761
Frank Fucarino,76762
Herm Fuetsch,76763
Joe Fulks,76764
Tony Fuller,76765
Terry Furlow,76767
Billy Gabor,76768
Elmer R. Gainer,76769
Corey Gaines,76770
Mike Gale,76771
Chad Gallagher,76772
Harry Gallatin,76773
Dave Gambee,76774
Bob Gantt,76776
Earl Gardner,76778
Vern Gardner,76779
Jack Garfinkel,76780
Gary Garland,76781
Winston Garland,76782
Dick Garmaker,76783
Bill Garnett,76785
Calvin Garrett,76786
Eldo Garrett,76788
Rowland Garrett,76789
Tom Garrick,76790
John Garris,76791
Jim Garvin,76793
Frank Gates,76794
Ed Gayda,76797
Jack George,76800
Tate George,76801
Gus Gerard,76802
Derrick Gervin,76803
George Gervin,76804
Gorham Getchell,76805
John Gianelli,76806
Dick Gibbs,76807
Dee Gibson,76808
Mel Gibson,76809
Mike Gibson,76810
Ward Gibson,76811
Ben Gillery,76812
Gene Gillette,76813
Herm Gilliam,76815
Walt Gilmore,76817
Chuck Gilmur,76818
Jack Givens,76819
George Glamack,76820
Gerald Glass,76821
Mike Glenn,76822
Norman Glick,76823
Georgi Glouchkov,76824
Clarence Glover,76825
Mike Gminski,76826
Dan Godfread,76827
Tom Gola,76828
Ben Goldfaden,76829
Glen Gondrezick,76830
Grant Gondrezick,76831
Gail Goodrich,76832
Wilfred Goodwin,76833
Lancaster Gordon,76834
Paul Gordon,76835
Leo Gottlieb,76836
Bato Govedarica,76837
Joe Graboski,76838
Ricky Grace,76839
Orlando Graham,76841
Paul Graham,76842
Mal Graham,76843
Jim Grandholm,76844
Stewart Granger,76847
Bud Grant,76850
Josh Grant,76852
Travis Grant,76853
Don Grate,76854
Butch Graves,76855
Gary Gray,76859
Leonard Gray,76860
Stuart Gray,76861
Sylvester Gray,76862
Wyndol Gray,76863
Bob Greacen,76865
Johnny Green,76867
Ken Green,76868
Kenny Green,76869
Luther Green,76872
Mike Green,76873
Rickey Green,76874
Sean Green,76875
Sidney Green,76876
Si Green,76877
Steve Green,76878
Tommy Green,76879
Jerry Greenspan,76880
David Greenwood,76881
Hal Greer,76882
Gary Gregor,76883
Claude Gregory,76884
John Greig,76885
Norm Grekin,76886
Kevin Grevey,76887
Greg Griffin,76888
Paul Griffin,76889
Darrell Griffith,76890
Chuck Grigsby,76891
George Grimshaw,76893
Dick Groat,76894
Bob Gross,76895
Jerry Grote,76896
Alex Groza,76897
Ernie Grunfeld,76899
Gene Guarilia,76900
Petur Gudmundsson,76901
Richie Guerin,76902
Andres Guibert,76903
Jay Guidinger,76904
Coulby Gunther,76905
Dave Gunther,76906
Al Guokas,76907
Matt Guokas,76908
Matt Guokas,76909
Rudy Hackett,76910
Scott Haffner,76911
Cliff Hagan,76912
Glenn Hagan,76913
Bob Hahn,76914
Al Hairston,76915
Happy Hairston,76916
Lindsay Hairston,76917
Chuck Halbert,76918
Harvey Halbrook,76919
Bruce Hale,76920
Shaler Halimon,76922
Jeff Halliburton,76923
Dale Hamilton,76925
Dennis Hamilton,76926
Ralph Hamilton,76927
Roylee Hamilton,76928
Steve Hamilton,76929
Cecil Hankins,76935
Phil Hankinson,76936
Alex Hannum,76937
Don Hanrahan,76938
Rollen Hans,76939
Glenn Hansen,76940
Lars Hansen,76941
Bob Hansen,76942
Bill Hanzlik,76944
Reggie Harding,76945
Charlie Hardnett,76946
Alan Hardy,76947
James Hardy,76948
John Hargis,76949
Jerry Harkness,76950
Skip Harlicka,76951
Jerome Harmon,76952
Mike Harper,76954
Art Harris,76956
Bernie Harris,76957
Chris Harris,76958
Bob Harris,76959
Steve Harris,76960
Tony Harris,76961
Bob Harrison,76962
Clem Haskins,76965
Joey Hassett,76966
Billy Hassett,76967
Scott Hastings,76968
Vern Hatton,76969
John Havlicek,76970
Steve Hawes,76971
Connie Hawkins,76972
Marshall Hawkins,76974
Robert Hawkins,76975
Tom Hawkins,76977
Nate Hawthorne,76978
Elvin Hayes,76979
Steve Hayes,76980
Spencer Haywood,76981
John W. Hazen,76982
Walt Hazzard,76983
Brian Heaney,76984
Garfield Heard,76985
Herm Hedderick,76986
Alvin Heggs,76987
Tom Heinsohn,76988
Dick Hemric,76989
Cedric Henderson,76990
Dave Henderson,76991
Jerome Henderson,76992
Gerald Henderson,76993
Kevin Henderson,76994
Tom Henderson,76996
Larry Hennessy,76998
Don Henriksen,76999
Al Henry,77000
Carl Henry,77001
Conner Henry,77002
Skeeter Henry,77003
Bill Henry,77004
Bill Herman,77006
Clarence Hermsen,77007
Keith Herron,77010
Sidney Hertzberg,77011
Fred Hetzel,77012
Bill Hewitt,77013
Jack Hewson,77014
Art Heyman,77015
Matthew Hickey,77016
Phil Hicks,77017
Rod Higgins,77019
Kenny Higgs,77021
Johnny High,77022
Wayne Hightower,77023
Armond Hill,77024
Cleo Hill,77025
Gary Hill,77026
Art Hillhouse,77027
Darnell Hillman,77028
Fred Hilton,77029
Roy Hinson,77030
Mel Hirsch,77031
Lew Hitch,77032
Craig Hodges,77034
Adolph Hoefer,77035
Bear Hoffman,77036
Bob Hogsett,77037
Paul Hogue,77038
Doug Holcomb,77039
Brad Holland,77040
Joe Holland,77041
Wilbur Holland,77042
Lionel Hollins,77043
Essie Hollis,77044
Jim Holstein,77045
Alvin Holt,77046
Michael Holton,77047
Dick Holub,77048
Joe Holup,77049
Red Holzman,77050
Tom Hoover,77051
Bob Hopkins,77052
Dave Hoppen,77053
Dennis Hopson,77054
Johnny Horan,77055
Cedrick Hordges,77056
Tito Horford,77057
Ron Horn,77058
Ed Horton,77060
Wilmer Hosket,77061
Bob Houbregs,77062
Tom Hovasse,77064
Brian Howard,77065
Greg Howard,77066
Mo Howard,77067
Otis Howard,77069
Bailey Howell,77070
Phil Hubbard,77071
Bob Hubbard,77072
Lou Hudson,77074
Alfredrick Hughes,77076
Eddie Hughes,77077
Kim Hughes,77078
John Hummer,77080
Jay Humphries,77081
Rod Hundley,77082
Cedric Hunter,77083
Les Hunter,77084
Roy Hurley,77086
Geoff Huston,77087
Paul Huston,77088
Mel Hutchins,77089
Joe Hutton,77090
Greg Hyder,77091
Marc Iavaroni,77092
Darrall Imhoff,77093
Tom Ingelsby,77094
Joel Ingram,77095
Byron Irvin,77096
Dan Issel,77097
Mike Iuzzolino,77098
Al Jackson,77099
Tony Jackson,77100
Greg Jackson,77101
Lucious Jackson,77103
Michael Jackson,77104
Myron Jackson,77105
Phil Jackson,77106
Ralph Jackson,77107
Stanley Jackson,77109
Tracy Jackson,77110
Wardell Jackson,77111
Winfred Jacobs,77112
Dave Jamerson,77114
Aaron James,77115
Gene James,77116
John Janisch,77120
Howie Janotta,77122
Tony Jaros,77123
Buddy Jeannette,77125
Abdul Jeelani,77126
Les Jepsen,77129
Buck Johnson,77130
Andy Johnson,77131
Arnie Johnson,77132
Charlie Johnson,77133
Steve Johnson,77134
Clay Johnson,77135
Clemon Johnson,77136
Dave Johnson,77138
David Johnson,77139
Dennis Johnson,77141
Magic Johnson,77142
Eddie Johnson,77144
Eric Johnson,77145
Frank Johnson,77146
George Johnson,77147
George Johnson,77148
George Johnson,77149
Gus Johnson,77150
Harold Johnson,77151
John Johnson,77152
Kannard Johnson,77153
Ken Johnson,77154
Larry Johnson,77156
Lee Johnson,77158
Lynbert Johnson,77159
Marques Johnson,77160
Neil Johnson,77161
Ollie Johnson,77162
Reggie Johnson,77163
Rich Johnson,77164
Ron Johnson,77165
Steffond Johnson,77166
Vinnie Johnson,77167
Mickey Johnson,77168
Neil Johnston,77169
Nate Johnston,77170
Jim Johnstone,77171
Howie Jolliff,77172
Anthony Jones,77173
Askia Jones,77174
Caldwell Jones,77175
Charles Jones,77178
Bill Jones,77180
Dwight Jones,77182
Earl Jones,77183
Edgar Jones,77184
Jake Jones,77185
Jimmy Jones,77186
Johnny Jones,77187
K.C. Jones,77188
Major Jones,77189
Ozell Jones,77191
Rich Jones,77192
Bobby Jones,77193
Robin Jones,77194
Nick Jones,77195
Sam Jones,77196
Steve Jones,77197
Wali Jones,77198
Wallace Jones,77199
Larry Jones,77200
Wil Jones,77201
Willie Jones,77202
Willie Jones,77203
Eddie Jordan,77205
Thomas Jordan,77208
Walter Jordan,77209
Phil Jordon,77210
Johnny Jorgensen,77211
Noble Jorgensen,77212
Roger Jorgensen,77213
Yvon Joseph,77214
Jeff Judkins,77215
Edwin Kachan,77217
George Kaftan,77218
Ed Kalafat,77219
Ralph Kaplowitz,77221
Tony Kappen,77222
George Karl,77223
Ed Kasid,77225
Leo Katkaveck,77226
Bob Kauffman,77227
Wilbert Kautz,77228
Clarence Kea,77229
Michael Kearns,77230
Tommy Kearns,77231
Harold Keeling,77233
Ken Keller,77234
Rich Kelley,77235
Clark Kellogg,77236
Gerard Kelly,77237
Tom Kelly,77238
Greg Kelser,77239
Ben Kelso,77240
Frank Kendrick,77242
Eugene Kennedy,77243
Joe Kennedy,77244
William Kennedy,77245
Larry Kenon,77246
Bill Kenville,77247
Johnny Kerr,77248
Jack Kerris,77249
Alec Kessler,77251
Warren Kidd,77254
Irv Kiffin,77255
Jack Kiley,77256
Ernie Killum,77257
Carl Kilpatrick,77258
Toby Kimball,77259
Bo Kimble,77260
Stan Kimbrough,77261
Chad Kinch,77262
Albert King,77263
Bernard King,77264
Dan King,77266
George King,77268
Jim King,77270
Maury King,77272
Reggie King,77273
Tom King,77276
Bob Kinney,77277
Walt Kirk,77278
Doug Kistler,77279
Curtis Kitchen,77280
Leo Klier,77283
Herm Klotz,77284
Duane Klueh,77285
Bob Knight,77287
Ron Knight,77288
Toby Knight,77289
Billy Knight,77290
Lee Knorek,77291
Dick Knostman,77292
Rod Knowles,77293
Bart Kofoed,77294
Don Kojis,77295
Milo Komenich,77296
Howard Komives,77297
Bud Koper,77299
Joe Kopicki,77300
Frank Kornet,77301
Len Kosmalski,77302
Andy Kostecka,77303
Harold Kottman,77304
Tom Kozelko,77305
Arvid Kramer,77306
Barry Kramer,77307
Joel Kramer,77308
Dan Kraus,77309
Herb Krautblatt,77310
Jim Krebs,77311
Wayne Kreklow,77312
Tom Kron,77313
Tom Kropp,77314
Steve Kuberski,77316
Leo Kubiak,77317
Bruce Kuczenski,77318
Frank Kudelka,77319
John Kuester,77320
Ray Kuka,77322
Kevin Kunnert,77323
Mitch Kupchak,77324
Charles Kupec,77325
Sam Lacey,77326
Fred LaCour,77327
Tom LaGarde,77328
Pete Lalich,77329
Bo Lamar,77330
John Lambert,77331
Jeff Lamp,77332
Jim Lampley,77333
Mark Landsberger,77334
Jerome Lane,77335
Stu Lantz,77338
York Larese,77339
Rudy LaRusso,77340
John Laskowski,77341
Dave Lattin,77342
Rich Laurel,77344
Walt Lautenbach,77345
Tony Lavelli,77346
Bob Lavoy,77347
Ed Lawrence,77348
Dennis Layton,77350
Emanuel Leaks,77351
Hal Lear,77352
Allen Leavell,77353
Jeff Lebo,77354
Butch Lee,77356
Clyde Lee,77357
Doug Lee,77358
George Lee,77359
Greg Lee,77360
Keith Lee,77361
Kurk Lee,77362
Rock Lee,77363
Ron Lee,77364
Russell Lee,77365
Ed Leede,77366
Hank Lefkowitz,77367
George Lehmann,77369
Gary Leonard,77370
Bob Leonard,77371
Jim Les,77372
Ronnie Lester,77373
Clifford Lett,77374
Andrew Levane,77375
Lafayette Lever,77376
Cliff Levingston,77377
Fred Lewis,77379
Freddie Lewis,77380
Grady Lewis,77381
Ralph Lewis,77383
Reggie Lewis,77384
Bobby Lewis,77385
Marcus Liberty,77386
Todd Lichti,77387
Bill Ligon,77388
Steve Lingenfelter,77389
Ron Livingstone,77392
Earl Lloyd,77394
Lewis Lloyd,77395
Scott Lloyd,77396
Bob Lochmueller,77397
Robert Lock,77398
Darrell Lockhart,77399
Kevin Loder,77401
Don Lofgran,77402
Johnny Logan,77403
Paul Long,77406
Jim Loscutoff,77409
Plummer Lott,77410
Kevin Loughery,77411
Bob Love,77412
Stan Love,77413
Clyde Lovellette,77414
Sidney Lowe,77415
Chuck Lowery,77416
Al Lucas,77417
Jerry Lucas,77418
John Lucas,77419
Maurice Lucas,77420
Ted Luckenbill,77421
Jim Luisi,77422
Al Lujack,77423
Phil Lumpkin,77424
Ray Lumpp,77425
Kevin Lynch,77426
Mike Lynn,77427
Mike Macaluso,77428
Ed Macauley,77429
Ronnie MacGilvray,77430
Ollie Mack,77432
Rudy Macklin,77435
Johnny Macknowski,77436
Kyle Macy,77438
Jack Maddox,77439
Norm Mager,77441
Dave Magley,77442
John Mahnken,77443
Francis Mahoney,77444
Lionel Malamed,77447
Moses Malone,77449
Steve Malovic,77450
Ted Manakas,77451
John Mandic,77452
Frank Mangiapane,77453
Ed Manning,77454
Pace Mannion,77456
Nick Mantis,77457
Peter Maravich,77458
Pete Maravich,77459
Roy Marble,77460
Saul Mariaschin,77462
Jack Marin,77463
Harvey Marlatt,77464
Eric Marsh,77465
Jim Marsh,77466
Tom Marshall,77467
Vester Marshall,77468
Brian Martin,77469
Donald Martin,77471
Fernando Martin,77472
Don Martin,77473
Jeff Martin,77474
Larue Martin,77475
Mo Martin,77476
Phil Martin,77477
Bob Martin,77478
Ronald Martin,77479
Slater Martin,77480
Bill Martin,77481
Al Masino,77482
Eddie Mast,77483
Wes Matthews,77484
Ariel Maughan,77485
Marlon Maxey,77486
Cedric Maxwell,77487
Don May,77489
Scott May,77490
Clyde Mayes,77492
Tharon Mayes,77493
Ken Mayfield,77494
Bill Mayfield,77495
Travis Mays,77496
Matt Mazza,77497
Bob McAdoo,77498
Ken McBride,77499
Brendan McCann,77500
Mel McCants,77502
Mike McCarron,77503
Andre McCarter,77504
Willie McCarter,77505
Johnny McCarthy,77506
Howie McCarty,77507
Dwayne McClain,77509
Ted McClain,77510
Jack McCloskey,77512
John McConathy,77513
Paul McConnell,77514
Keith McCord,77515
Tim McCormick,77516
Paul McCracken,77517
Scooter McCray,77518
John McCullough,77520
Jim McDaniels,77523
Ben McDonald,77524
Glenn McDonald,77525
Hank McDowell,77527
Jim McElroy,77528
Mel McGaha,77529
Mike McGee,77530
Bill McGill,77531
George McGinnis,77532
Jon McGlocklin,77533
Gil McGregor,77534
Allie McGuire,77535
Al McGuire,77536
Dick McGuire,77537
Kenny McIntosh,77540
Kevin McKenna,77541
Forrest McKenzie,77542
Stan McKenzie,77543
Carlton McKinney,77545
Horace McKinney,77546
Billy McKinney,77547
Mccoy McLemore,77548
George McLeod,77549
Jack McMahon,77551
Tom McMillen,77553
Jim McMillian,77554
Shellie McMillon,77555
Mal McMullan,77556
Chet McNabb,77557
Mark McNamara,77558
Joe McNamee,77559
Chris McNealy,77560
Larry McNeill,77561
Bob McNeill,77562
Carl McNulty,77563
Cozell McQueen,77565
Thales McReynolds,77566
Eric McWilliams,77567
George Mearns,77568
Cliff Meely,77570
Scott Meents,77571
Dick Mehen,77572
Don Meineke,77573
Carl Meinhold,77574
Gary Melchionni,77575
Bill Melchionni,77576
Ed Melvin,77577
Dean Meminger,77578
Chuck Mencel,77579
John Mengelt,77580
Ken Menke,77581
Joe Meriweather,77582
Porter Meriwether,77583
Tom Meschery,77584
Dave Meyers,77586
Stan Miasek,77587
Larry Micheaux,77588
Zigmund Mihalik,77589
Ed Mikan,77590
Larry Mikan,77591
Vern Mikkelsen,77593
Al Miksis,77594
Eddie Miles,77596
Nat Militzok,77598
Eddie Miller,77599
Harry Miller,77600
Jay Miller,77601
Dick Miller,77602
Bob Miller,77603
Walt Miller,77604
Bill Miller,77605
John Mills,77606
Dirk Minniefield,77609
Dave Minor,77610
Mark Minor,77612
Wat Misaka,77613
Todd Mitchell,77614
Mike Mitchell,77615
Murray Mitchell,77616
Steve Mix,77618
Bill Mlkvy,77619
Larry Moffett,77621
Leo Mogus,77622
Paul Mokeski,77623
Jack Molinas,77624
Wayne Molis,77625
Sidney Moncrief,77626
Eric Money,77627
Rodney Monroe,77628
Howie Montgomery,77630
Jim Mooney,77631
Andre Moore,77632
Johnny Moore,77633
Jackie Moore,77634
Lowes Moore,77635
Otto Moore,77636
Ron Moore,77637
Jackie Moreland,77639
Guy Morgan,77640
Rex Morgan,77641
Elmo Morgenthaler,77642
Darren Morningstar,77644
Max Morris,77646
Isaiah Morris,77647
Dwight Morrison,77648
Mike Morrison,77649
Richard Morton,77652
Glenn Mosley,77653
Perry Moss,77654
Chuck Mrazovich,77657
Erwin Mueller,77658
Joe Mullaney,77659
Bob Mullens,77660
Jeff Mullins,77662
Chris Munk,77664
George Munroe,77665
Allen Murphy,77668
Calvin Murphy,77669
Jay Murphy,77670
John Murphy,77671
Dick Murphy,77672
Ronnie Murphy,77673
Tod Murphy,77674
Ken Murray,77675
Dorie Murrey,77676
Angelo Musi,77677
Bob Naber,77681
Boris Nachamkin,77682
Jerry Nagel,77683
Fred Nagy,77684
Larry Nance,77685
Paul Napolitano,77686
Charles Nash,77687
Bob Nash,77688
Swen Nater,77689
Howard Nathan,77690
Calvin Natt,77691
Kenny Natt,77692
Willie Naulls,77693
Craig Neal,77694
Jim Neal,77695
Lloyd Neal,77696
Ed Nealy,77697
Al Negratti,77698
Barry Nelson,77699
Don Nelson,77700
Louie Nelson,77701
Martin Nessley,77704
Johnny Neumann,77705
Paul Neumann,77706
Chuck Nevitt,77707
Mike Newlin,77710
Dave Newmark,77712
Jack Nichols,77713
Carl Nicks,77715
Rich Niemann,77716
John Niemiera,77717
Mike Niles,77718
Kurt Nimphius,77719
Dyron Nix,77720
Norm Nixon,77721
Chuck Noble,77722
Paul Noel,77723
Jim Nolan,77724
Paul Nolen,77725
Robert Nordmann,77727
Johnny Norlander,77728
Connie Norman,77729
Audie Norris,77731
Sylvester Norris,77732
Willie Norwood,77733
George Nostrand,77734
Stan Noszka,77735
Mike Novak,77736
Mel Nowell,77737
Dennis Nutt,77738
John O'Boyle,77742
Buckshot O'Brien,77743
Bob O'Brien,77744
Dermie O'Connell,77745
Andy O'Donnell,77746
Carlos Ogden,77747
Ralph Ogden,77748
Francis O'Grady,77750
Don Ohl,77751
Dick O'Keefe,77752
Tommy O'Keefe,77753
